song_no,song_name,song_label,song_feature
1,aHUOz,99.38401442,"[-0.12041102713785598, -0.6571862513729638, 0.12155975536688439, 0.37949795277090986, 0.1699510988529907, 0.10052371418519805, -0.03991084104579455, -0.26964412402521737, 0.18007087164872995, 0.3404042074146076, 0.5955245802606609, -0.017132441569320155, 1.3214520676725194, 0.1839551062923576, 0.30127393121322504, 0.8839857826894914, -1.2596610714918164, -0.13534139418499563, -1.1214179719672919, 0.17303259617601519, -0.44502271530692744, -0.8206797156112914, -0.042185789593957315, 0.31817748478886027, 0.04606496499926667, 0.8330048226583106]"
2,Beggin',129.1992188,"[0.6837373118607735, -0.07184637213099797, 0.07760301961138599, 0.33572091437747165, 0.19137685440775568, -0.28505633901728805, 0.13801848057719668, -0.24043070783642778, 0.48514275201572177, -0.0032717159198648654, 0.2441415082087697, 0.2815777276908202, -0.5673202261998465, 0.7888237184137558, -0.015455299383843272, -0.27347636664162966, 0.12270667329439136, 0.7722413868064829, 0.23564369917743733, 1.473733246580253, 0.6706900326612429, -0.3874033407998599, 0.9995697472986271, 1.3591818536749063, 0.9471573731406892, 0.630751832197196]"
3,Bloom of Youth,135.9991776,"[-1.7585163650233633, -1.1283051320726358, -1.9363724668754856, -2.238595106990466, -2.0150443133171096, -1.4575075939642346, -1.5854627655205524, 1.9638851600238127, -0.6033300847221219, 0.07592627699265929, -0.40609133871760444, -1.8873687846637606, -2.1433034092560246, -1.2768453843211112, 0.11098960319865595, -0.8300494979456965, 1.8212693511586409, 0.19020021466903594, 0.22838989670277035, -2.3662274220517627, -2.2740645345729904, -2.262635610485166, -1.8929697391779545, -2.7307143774691967, -0.9775035996517467, -1.9051724715711453]"
4,Can't Hold Us,143.5546875,"[0.5862144956707198, 0.687701432391733, 0.35417686573429447, 0.4370231965256547, 0.3556115493447169, 0.01532454799415739, 0.7739662261210588, -0.37648089901317033, -0.5052480497654029, 0.40471158535434015, 0.5863719633505083, -0.2982946762325134, 0.35379808347334024, 0.5292917888003656, -0.6131016233605338, 0.9887909471484245, 0.64070885071275, 0.6047756397709964, 1.4375190171976442, 0.3959767635714668, 0.7962923254319654, 0.5388091860452798, -0.27118973957644266, 0.8282947340966492, 0.7565509293107836, 1.008153764896667]"
5,Circles,117.4538352,"[0.2185023182283135, 1.6714775499654437, -0.26926350757576634, 0.27139016807477184, -0.08548040177861102, -0.45787838775166334, 0.7797705736633248, 0.28305643913915335, 0.9878504042188989, 0.10007299836510125, 0.1021549704159603, 0.34501721575908484, 1.1637555915097804, 0.28147271475081553, 0.0439210024663432, 0.40174417655310424, 1.0146059125973457, 0.6268008452656291, 0.6135083301627863, 0.08476520391965764, -0.28227068159826696, 0.9040934316175157, -1.2286750017648846, 1.1902685802670234, 0.16234068442588145, -0.1048002632434021]"
6,doa - ”¢–€,95.703125,"[1.210860074065242, -0.22990515040164794, 1.3028627403878272, 0.8878509567528242, 1.1203413039817456, 2.2314256036131046, 0.7936781622009893, -1.1100861028942994, 0.3321671965286271, 1.4612686820915224, 0.8145697138884227, 0.07402129295035936, 0.9442116436318007, 0.9865648836320166, 0.4541329392102652, 0.02827902414717011, 0.5108342125868945, -0.15736548963290684, 0.0014998326303858442, -0.2892251753688503, -0.6990174462871183, 0.006711685080330864, -0.4967520521819604, -0.9595473486562034, 0.5173908972453392, -0.612325674363406]"
7,Don Coi (Instrumental),80.74951172,"[0.0988963926951832, -0.7322160182602442, -0.45916373190003995, -0.017714078358077968, -0.2598712383996702, -0.9735763299991236, -0.7073038272565937, 0.300989194912426, 1.5764487027975742, 0.46068471815935197, 1.461931017262052, 0.8181814407592913, 0.5111290659508716, 0.32687200004834266, -0.16116674535057907, -0.6424252377988198, -0.1955750421316724, 0.34981020375076166, 0.8882549132620136, 0.2651737674931942, 0.2369805365062499, 0.25728520801157256, 0.7872615866103022, -0.4805542011203282, -0.20424933626920677, -0.7664907774883046]"
8,Enigma (Original Mix),135.9991776,"[3.126059641624256, 1.7184576678220833, 1.6087144073394253, 1.4313046359129813, 1.6345569221193008, 0.7747393626931203, 1.2369399458005808, -1.1641885775739853, 1.427232970588708, 0.04197540624275166, 0.7194709239296597, 0.9341960757379973, 0.988559918559329, 1.0272413076180025, 1.0320481643918937, 1.2507384807328725, 1.561395126044119, 1.410422360694445, 1.1698660946614514, 1.1055708666808122, 0.7489662936036768, 0.8126037312005765, 1.4978729124646122, 1.9605995223916088, 2.1753149709903554, 1.2927675775934078]"
9,Eunomia,135.9991776,"[1.619386738548592, 1.5160568424749405, 1.8188416241728846, 1.1911019864195833, 1.5755650320632415, 1.7727280565949712, 1.2027579741849828, -1.5211627121642899, 0.23406929664434659, -0.0707668087839969, 0.07656275160388973, 1.164192380448573, 1.39704076109322, 1.1731062345337782, 0.751704109842986, 1.0810902268957983, 1.0829578895561591, 1.3532634933595127, 0.6268894309166311, 0.8744088846926591, 0.9618312022761826, 1.2624788867313257, 1.2276083328663498, 1.1974475039273214, 0.8641366243686895, 0.9502298171674141]"
10,Feel It Still,103.359375,"[0.356528231613706, 0.6649984393919239, 0.3616950367014582, 0.5711347849846401, 0.48774685226006975, -0.5538920040628376, 0.05880508222717024, -0.7735381722976434, 1.51327427085839, 2.1134603446595808, 1.081743890381411, 0.2943019593320604, 0.22093044850989965, 0.6291195982284284, 0.2901515584758617, 0.4240761817106729, -1.103698438775166, -0.5185209515960106, -0.8135360598734591, 0.1529949052201264, -0.8786495546326387, -0.2755989468189419, 0.6244313876933543, 0.4293421420830037, 1.776476592710752, 1.512075660958353]"
