song_no,song_name,song_label,song_feature
1,+♂,89.10290948275862,"[0.8654908435772289, 0.14213820244887593, 1.917858265513007, 0.8819547528084627, 1.3555867584089596, 2.8685402342650024, 0.9988876250846854, -1.8547519695602328, -0.6544157609723315, 0.36447330323124005, -0.9317641734320744, 0.6599961208601836, 0.7231446937863364, -0.013559424769617936, 0.6070961430761427, 0.4391857498301837, 1.5680558175147836, 1.947047778428318, 1.7528979970974854, 1.455870330338811, 1.0227538739603204, 1.0985460891934002, 1.6847058641525923, 1.3686647133246308, 0.0905564345609251, -0.38789061885714027]"
2,10PM,129.19921875,"[0.1506474334033188, -0.5534883937415938, 0.04006709362132266, 0.4113743750970022, 0.26887296628251417, -0.23604437326519073, -0.039173122829469144, -0.03147573354607517, -0.11998419057239962, -0.8959169731623715, 0.9169790565973971, 0.4703054552337039, 0.8786046582291953, 1.2421264532517364, 0.2553979144038516, 1.2664757851639807, -0.05410793353715617, 0.3556215897154843, 0.5052795062385724, -0.5257195777939896, 0.8249051542901563, -0.05413488711264349, -0.05662084331832523, -1.2996367133275968, 1.3912346138427343, -0.29215934021897855]"
3,A Sky Full of Stars,123.046875,"[-0.9380495625427088, -1.1908423323488062, -0.19340110593579793, 0.09135757685622745, 0.02153172353674339, -0.15098105585720994, -0.37148992926450464, 0.19963209966088322, 0.34773164884023744, -0.3757384112330755, -0.3670565584096574, -0.019952586931208417, -1.5541584433996016, 0.4543257607546258, -0.31210362376362916, -1.6015083464294186, 0.21134555488663195, -0.0012426230398210982, -0.6092518269381868, -0.49198408544873207, -0.4804643098383179, 0.07988157434044027, -0.2705584376518712, -0.008413836685112778, 0.1546652667686161, -0.9019259284779823]"
4,All Falls Down,99.38401442307692,"[0.4389754278020558, 0.7439371218381333, 1.7487951955034513, 1.033348940715412, 1.418717398744556, 2.0735709635049404, 1.143118297132409, -1.6168465728147456, -0.9720264115533133, -0.8612887664391744, -1.203677098250493, 0.17162323660723947, 0.36489127969426155, -0.1425674738432738, 0.1678722906701923, 0.2923079610802504, 0.25274137867718954, 0.600505824534197, 0.9431253121374391, 0.4500467490851446, 0.09932458080692315, 0.5477514704470602, 0.1276828674381365, 1.0508025268885592, 1.258942595256446, 0.9860096614529442]"
5,bad guy - with Justin Bieber,135.99917763157896,"[1.521364920905854, 1.498059432846579, -1.9540537980169674, -1.6961808064809096, -1.9077082791560023, -1.974534088301231, -1.36547788517969, 1.043593268183498, 1.8891548110146057, 1.7933122535944281, 3.551957416887677, 0.8258677684222967, 1.6707867859319787, 2.1611195626144877, 1.713246830432065, 1.780733733102286, 1.4472896823184254, 1.2515568669400967, 1.6198081021357473, 1.6955690501261313, 1.086196227540897, -0.22964312238374202, 0.8384536112332466, 0.2859245957935019, -0.2956821623682885, -0.6993578524033246]"
6,bbibbi（英语男声翻唱）（翻自 李知恩IU）,143.5546875,"[0.9349973666789053, -0.6681580521609662, 1.3294179950318075, 0.8012689836644915, 0.8955938502693652, 1.4375566028080715, -1.210502829382312, -1.6399441233080225, 2.2672718093731294, 0.7173492144236921, 0.6377444413292392, -0.6711397777785657, -0.5314491323915187, -0.19493942264664946, -1.2593532548223005, 0.002589071236440664, -0.5755310615483362, 0.4636542545442957, -0.04753146593293564, -0.3228925912878903, 0.3107592435129075, 0.6066690775376362, -0.250268556520421, 0.635561915962791, -0.7244014426488619, -0.6893318460181393]"
7,Beggin',129.19921875,"[0.7612374066296882, -0.07776659135136847, 0.024786345023918202, 0.20174028560411109, 0.15939222533875066, -0.18719899988347288, 0.07341957485170367, -0.16476236757076632, -0.0009045394639181768, -0.3421478607801736, 0.1535579324105896, 0.2605671639163634, -1.1517545864480412, 0.8384047173344061, -0.17069538512413684, -0.38957667995226014, 0.20002569385770888, 0.8501164600563129, 0.4756425479769487, 1.8111918666231288, 0.6112354669608321, -0.7748152091091862, 1.0349852199356446, 1.270403861183255, 0.9481243702778459, 0.6541371592580743]"
8,Blood Bag,123.046875,"[2.975572079206529, -0.5987939020809604, -2.9270449003178474, -3.8983942418440796, -3.016817389668305, -2.3257182545696873, -1.6856570613969553, 4.045790405896064, -0.12898684321684623, 1.04170065547197, 0.8703533854301432, 0.6480345785988312, 0.5494227165917288, 0.9937257196365635, -0.053572024335487356, -0.17045497554481903, 1.6501556844389877, 0.35408952675281236, 0.9826257932577417, 0.6981332421771117, 1.3328872046482583, 0.6696546989502372, 2.027752840714238, 0.36854223191215507, 1.0978312472297092, 0.43548346305361957]"
9,brave heart,143.5546875,"[0.8690349788542281, -0.4478117038347537, -0.01221824047815856, 0.15169595102879235, 0.1843110397508677, -0.041645581168140634, 0.4171120610441388, -0.028570923897254137, -0.6169697711770206, 0.53242846142276, 0.2856042990140411, 0.9209123825224236, -0.4436756750040206, 1.1573355582974505, 0.7076377099216992, 1.170698890188144, 0.34435391194252785, 1.4656575788921806, 0.11898805623309185, 0.5482094601666142, 0.4571641343168806, -0.3855452622164732, 0.15340466943860617, 0.13120788497428168, 0.822710526650678, 1.4109032769589482]"
10,Butter-Fly,161.4990234375,"[0.5771806227524184, 0.3699560181499475, 0.05465404845146622, -0.43327792310127455, -0.19798478570712152, 0.6398947827212972, 0.9511992444757377, -0.22878127096902554, -2.3692080891006144, 0.6012931097542558, 0.1850024580263454, 0.4742339042276672, 0.1451486686471071, 0.706287524699254, 1.0030580992296594, 0.5833700767845889, 0.9150224229213, 0.3647376394387669, 0.2939345097005113, 0.2703738008853635, -0.5519199038679637, -0.7276325027765106, -0.1952010338429426, -1.0632315213038752, -0.7560632605200618, -0.43701974421051304]"
